feature,importance
Exterior2nd_Brk Cmn,0.0003726592076875284
BsmtFinType1_Unf,0.0003610496795279468
RoofStyle_Hip,0.0003604942996540324
RoofStyle_Gable,0.0003601218142683968
LandSlope_Gtl,0.00035586100897141423
Neighborhood_NoRidge,0.0003479595763903967
LotShape_IR1,0.0003421635384303892
Exterior1st_VinylSd,0.00034183388396315473
Exterior1st_MetalSd,0.0003366114752097369
BsmtFinType2_BLQ,0.0003219159578540726
FireplaceQu_Po,0.00032191132216676557
BsmtFinType1_ALQ,0.0003213690961460554
Functional_Mod,0.0003110245391395443
FireplaceQu_TA,0.0003028398169251553
PavedDrive_Y,0.0002946730140770419
Foundation_BrkTil,0.0002910965619853579
Neighborhood_NAmes,0.00028766333066321893
Exterior2nd_MetalSd,0.0002856855571696427
Condition1_Norm,0.00028298211650115625
LotConfig_Corner,0.00027962577234954286
Functional_Maj2,0.0002750432575005647
BldgType_1Fam,0.00026201934875694357
MasVnrType_Missing,0.00025819315712409416
Neighborhood_CollgCr,0.00025552052686241445
RoofMatl_CompShg,0.00025223519623492134
Condition2_Norm,0.0002504497322608356
HeatingQC_Gd,0.0002450962037392714
MasVnrType_Stone,0.00024257646739341026
BsmtHalfBath,0.0002345226714682752
Condition1_Artery,0.00022491650557137329
Exterior1st_Wd Sdng,0.00022330791302321265
MasVnrType_BrkFace,0.00021878381700075024
Fence_MnPrv,0.00021658788599780495
HouseStyle_1Story,0.00021467799552697705
Neighborhood_Somerst,0.00021026770006217588
BsmtFinType1_BLQ,0.00020912575111998677
Exterior1st_BrkComm,0.0002078463911255687
Heating_Grav,0.0002065865718004922
Exterior2nd_Plywood,0.0002044574362505208
BsmtExposure_Av,0.0002017350458964737
GarageType_Missing,0.00019975411476754636
SaleType_WD,0.0001951092333086526
BsmtFinType1_Rec,0.00019400928309749828
HouseStyle_SLvl,0.00019231516573577493
Exterior2nd_Wd Sdng,0.00019103650171628148
Neighborhood_Sawyer,0.00018443026025625233
Exterior1st_BrkFace,0.00017820666422563042
BsmtQual_Fa,0.0001741031485051447
SaleCondition_Partial,0.00016917626638673471
GarageQual_Fa,0.00016888038439724962
LandSlope_Mod,0.00016735281914251882
Functional_Min2,0.0001670405872358431
Neighborhood_IDOTRR,0.00016568390916204816
GarageFinish_Missing,0.0001616206378328658
Condition1_Feedr,0.0001606835978252129
Electrical_FuseA,0.0001587685132171464
RoofStyle_Gambrel,0.00015342367099461528
LandContour_HLS,0.00015297382289578167
LotConfig_CulDSac,0.0001524838024888557
GarageCond_Missing,0.00014709561984263577
Neighborhood_NridgHt,0.000146110378294698
Exterior2nd_HdBoard,0.00013327629769028257
BsmtFinType1_LwQ,0.00013210510705283956
Exterior1st_HdBoard,0.00013073092055138633
Exterior1st_Plywood,0.00012758537891619792
ExterQual_Fa,0.00012619349926343165
HouseStyle_2Story,0.00012304183295390594
BsmtFinType2_Unf,0.00012152365541286964
SaleType_New,0.00011466038238991612
Heating_GasA,0.00011332631119268537
PoolQC_Missing,0.00011223336645459782
SaleType_COD,0.00010911533720192102
Electrical_FuseF,0.00010792285152053078
Neighborhood_ClearCr,0.0001074834481461579
GarageType_BuiltIn,0.00010732181225931585
PavedDrive_P,0.00010592449189286331
GarageQual_Missing,0.00010521944189671754
GarageType_CarPort,0.00010379885285060444
Neighborhood_SWISU,0.0001015536622452033
Exterior1st_AsbShng,9.81891067778242e-05
Alley_Grvl,9.706991967813789e-05
BsmtExposure_Mn,9.58062600151799e-05
Exterior2nd_CmentBd,9.396932590736409e-05
Neighborhood_Mitchel,9.354047278443549e-05
MiscVal,9.28163413445366e-05
LowQualFinSF,9.006674475980335e-05
3SsnPorch,8.857252402234043e-05
LotConfig_FR2,8.620521947364746e-05
Neighborhood_BrkSide,8.546384495345778e-05
Fence_GdPrv,8.50212956092003e-05
Neighborhood_NWAmes,8.396796287792343e-05
KitchenQual_Fa,8.102281356139569e-05
Condition1_RRAe,8.087382405783348e-05
MSZoning_RH,7.979336248856805e-05
Alley_Pave,7.696334763369807e-05
Neighborhood_SawyerW,7.368031379626496e-05
MiscFeature_Missing,7.031882176178457e-05
Exterior1st_CemntBd,7.01908115144984e-05
GarageCond_Fa,6.883350668530834e-05
LandContour_Low,6.647744557145519e-05
BsmtCond_Gd,6.451593277227208e-05
BsmtExposure_Missing,6.36198658268417e-05
RoofStyle_Flat,6.33897288241184e-05
Exterior2nd_Wd Shng,6.321057871175656e-05
BldgType_TwnhsE,6.2686155185142e-05
BldgType_Duplex,5.7774178007780146e-05
Condition1_PosN,5.650141329614665e-05
MasVnrType_BrkCmn,5.422545180366088e-05
Functional_Maj1,5.3566299863561934e-05
Exterior2nd_ImStucc,5.3096686480508135e-05
Neighborhood_StoneBr,5.2212589286494995e-05
